特征名,特征权重值
cc_lines,0.19433338065863026
author_count,0.1349390689371025
modify_count,0.14226709593940134
avg_added,0.1522922716926668
avg_deleted,0.14286517636602558
unique_operators,0.13729057110574874
unique_operands,0.22811932258732226
total_operators,0.235488427363477
total_operands,0.1722371621912115
